Reference Type;Reference Id;Authors, Primary;Title Primary;Periodical Full;Periodical Abbrev;Pub Year;Pub Month & Day;Pub Date Free From;Volume;Issue;Start Page;Other Pages;Keywords;Abstract;Notes;Personal Notes;Authors, Secondary;Title Secondary;Edition;Publisher;Place Of Publication;Authors, Tertiary;Authors, Quaternary;Authors, Quinary;Title, Tertiary;ISSN/ISBN;Availability;Author/Address;Accession Number;Output Language;Language;Classification;Sub file/Database;Original Foreign Title;Links;URL;DOI;PMID;PMCID;Call Number;Database;Data Source;Identifying Phrase;Retrieved Date;Shortened Title;User 1;User 2;User 3;User 4;User 5;User 6;User 7;User 8;User 9;User 10;User 11;User 12;User 13;User 14;User 15
Journal Article;RefID:697-lounis2021predictive;"Lounis,M.;Torrealba-Rodriguez,O.;Conde-Gutiérrez,R. A.";Predictive models for COVID-19 cases, deaths and recoveries in Algeria;Results in Physics;;2021;;nov-21;30;;104845;;;This study was conducted to predict the number of COVID-19 cases, deaths and recoveries using reported data by the Algerian Ministry of health from February 25, 2020 to January 10, 2021. Four models were compared including Gompertz model, logistic model, Bertalanffy model and inverse artificial neural network (ANNi). Results showed that all the models showed a good fit between the predicted and the real data (R2 >0.97). In this study, we demonstrate that obtaining a good fit of real data is not directly related to a good prediction efficiency with future data. In predicting cases, the logistic model obtained the best precision with an error of 0.92% compared to the rest of the models studied. In deaths, the Gompertz model stood out with a minimum error of 1.14%. Finally, the ANNi model reached an error of 1.16% in the prediction of recovered cases in Algeria. .;ID: 280687;;;;;;;;;;;2211-3797;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2211379721008901;https://www.sciencedirect.com/science/article/pii/S2211379721008901;https://doi.org/10.1016/j.rinp.2021.104845;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:696-iacolare2022posa310;"Iacolare,B.;Perrone,V.;Sangiorgi,D.;Ghigi,A.;Giacomini,E.;Nappi,C.;Paoli,D.;Ancona,D. D.;Andretta,M.;Barbieri,A.;Bartolini,F.;Cavaliere,A.;Ciaccia,A.;Citraro,R.;Dell'Orco,S.;Ferrante,F.;Gentile,S.;Grego,S.;Procacci,C.;Ubertazzo,L.;Vercellone,A.;Degli Esposti,L.";POSA310 Artificial Intelligence Applied on Administrative Big Data to Predict the Severity of SARS-COV-2 Infection;Value in Health;;2022;;January 2022;25;1, Supplement;S199;S200;;;ID: 270559;;;;;;;;;;;1098-3015;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S1098301521027649;https://www.sciencedirect.com/science/article/pii/S1098301521027649;https://doi.org/10.1016/j.jval.2021.11.969;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:695-rendana2021covid-19;"Rendana,Muhammad;Idris,Wan Mohd Razi";New COVID-19 variant (B.1.1.7): Forecasting the occasion of virus and the related meteorological factors;Journal of Infection and Public Health;;2021;;October 2021;14;10;1320;1327;;"Background World Health Organization has reported fifty countries have now detected the new coronavirus (B.1.1.7 variant) since a couple of months ago. In Indonesia, the B.1.1.7 cases have been found in several provinces since January 2021, although they are still in a lower number than the old variant of COVID-19. Therefore, this study aims to create a forecast analysis regarding the occasions of COVID-19 and B.1.1.7 cases based on data from the 1st January to 18th March 2021, and also analyze the association between meteorological factors with B.1.1.7 incidences in three different provinces of Indonesia such as the West Java, South Sumatra and East Kalimantan. Methods We used the Autoregressive Moving Average Models (ARIMA) to forecast the number of cases in the upcoming 14 days and the Spearman correlation analysis to analyze the relationship between B.1.1.7 cases and meteorological variables such as temperature, humidity, rainfall, sunshine, and wind speed. Results The results of the study showed the fitted ARIMA models forecasted there was an increase in the daily cases in three provinces. The total cases in three provinces would increase by 36% (West Java), 13.5% (South Sumatra), and 30% (East Kalimantan) as compared with actual cases until the end of 14 days later. The temperature, rainfall and sunshine factors were the main contributors for B.1.1.7 cases with each correlation coefficients; r = −0.230; p < 0.05, r = 0.211; p < 0.05 and r = −0.418; p < 0.01, respectively. Conclusions We recapitulated that this investigation was the first preliminary study to analyze a short-term forecast regarding COVID-19 and B.1.1.7 cases as well as to determine the associated meteorological factors that become primary contributors to the virus spread.";ID: 277405;;;;;;;;;;;1876-0341;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S1876034121001556;https://www.sciencedirect.com/science/article/pii/S1876034121001556;https://doi.org/10.1016/j.jiph.2021.05.019;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:694-yi2022electric;"Yi,Zhiyan;Liu,Xiaoyue Cathy;Wei,Ran;Chen,Xi;Dai,Jiangpeng";Electric vehicle charging demand forecasting using deep learning model;Journal of Intelligent Transportation Systems;;2022;;Available online 5 February 2022;;;;;;Greenhouse gas (GHG) emission and excessive fuel consumption have become a pressing issue nowadays. Particularly, CO2 emissions from transportation account for approximately one-quarter of global emissions since 2016. Electric vehicle (EV) is considered an appealing option to address the aforementioned concerns. However, with the growing EV market, issues such as insufficient charging infrastructure to support such ever-increasing demand emerge as well. Effectively forecasting the commercial EV charging demand ensures the reliability and robustness of grid utility in the short term and helps with investment planning and resource allocation for charging infrastructures in the long run. To this end, this article presents a time-series forecasting of the monthly commercial EV charging demand using a deep learning approach-Sequence to Sequence (Seq2Seq). The proposed model is validated by real-world datasets from the State of Utah and the City of Los Angeles. Two prediction targets, namely one-step ahead prediction and multi-step ahead prediction, are tested. Further, the model is benchmarked and compared against other time series and machine learning models. Experiments show that both Seq2seq and long short-term memory (LSTM) generate satisfactory prediction performance for one-step prediction. However, when performing the multi-step prediction, Seq2Seq significantly outperforms other models in terms of various performance metrics, indicating the model’s strong capability for sequential data predictions.;ID: 781266;;;;;;;;;;;1547-2450;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S1547245022003838;https://www.sciencedirect.com/science/article/pii/S1547245022003838;https://doi.org/10.1080/15472450.2021.1966627;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:693-toğa2021covid-19;"Toğa,Gülhan;Atalay,Berrin;Toksari,M. Duran";COVID-19 prevalence forecasting using Autoregressive Integrated Moving Average (ARIMA) and Artificial Neural Networks (ANN): Case of Turkey;Journal of Infection and Public Health;;2021;;July 2021;14;7;811;816;;A local outbreak of unknown pneumonia was detected in Wuhan (Hubei, China) in December 2019. It is determined to be caused by a severe acute respiratory syndrome coronavirus 2 (SARS-COV-2) and called COVID-19 by scientists. The outbreak has since spread all over the world with a total of 120,815,512 cases and 2,673,308 deaths as of 16 March 2021. The health systems in the world collapsed in many countries due to the pandemic and many countries were negatively affected in the social life. In such situations, it is very important to predict the load that will occur in the health system of a country. In this study, the COVID-19 prevalence of Turkey is inspected. The infected cases, the number of deaths, and the recovered cases are predicted with Autoregressive Integrated Moving Average (ARIMA) and Artificial Neural Networks (ANN) in Turkey. The techniques are compared in terms of correlation coefficient and mean square error (MSE). The results showed that the used techniques used are very successful in the estimation of prevalence in Turkey.;ID: 277405;;;;;;;;;;;1876-0341;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S1876034121001155;https://www.sciencedirect.com/science/article/pii/S1876034121001155;https://doi.org/10.1016/j.jiph.2021.04.015;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:692-robertson2022predicting;"Robertson,Devon L.;Goodridge,Wayne A.";Predicting density of serious crime incidents using a Multiple-Input Hidden Markov Maximization a posteriori model;Machine Learning with Applications;;2022;;15 March 2022;7;;100231;;;Accurately predicting the displacement of crime from a given state such as cold to another state such as warm or hot, facilitates the efficient allocation of resources and the mitigation of crime threats. In this study, a crime forecasting model was developed, based on Spearman’s Correlations and a clustering technique (DBSCAN), which captures significant groupings in a geospatial dataset. A Multi-Input Hidden Markov Model (MI-HMM) machine learning framework was developed to train the dataset. The results from the MI-HMM were then used to make a Maximum a Posteriori (MAP) decision over the possible state of crime for the next month. This novel model, MI-HMM-MAP, was used to predict the density of crime including criminal hot spots over time. The model was evaluated using real-world dataset. Findings show an average of 72.5% accuracy and 81.7% correctness. The model was compared to 5 classical predictive models. Results show that our model significantly outperforms a linear regression model, a neural network model, and two machine learning approaches. It slightly outperforms a deep learning approach as demonstrated statistically by an application to the crime of murder in Trinidad and Tobago.;ID: 777839;;;;;;;;;;;2666-8270;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S266682702100116X;https://www.sciencedirect.com/science/article/pii/S266682702100116X;https://doi.org/10.1016/j.mlwa.2021.100231;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:691-chen2021efficient;"Chen,Kexin;Pun,Chi Seng;Wong,Hoi Ying";Efficient social distancing during the COVID-19 pandemic: Integrating economic and public health considerations;European Journal of Operational Research;Eur.J.Oper.Res.;2021;;Available online 11 November 2021;;;;;;Although social distancing can effectively contain the spread of infectious diseases by reducing social interactions, it may have economic effects. Crises such as the COVID-19 pandemic create dilemmas for policymakers because the long-term implementation of restrictive social distancing policies may cause massive economic damage and ultimately harm healthcare systems. This paper proposes an epidemic control framework that policymakers can use as a data-driven decision support tool for setting efficient social distancing targets. The framework addresses three aspects of the COVID-19 pandemic that are related to social distancing or community mobility data: modeling, financial implications, and policy-making. Thus, we explore the COVID-19 pandemic and concurrent economic situation as functions of historical pandemic data and mobility control. This approach allows us to formulate an efficient social distancing policy as a stochastic feedback control problem that minimizes the aggregated risks of disease transmission and economic volatility. We further demonstrate the use of a deep learning algorithm to solve this control problem. Finally, by applying our framework to U.S. data, we empirically examine the efficiency of the U.S. social distancing policy.;ID: 271700;;;;;;;;;;;0377-2217;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0377221721009589;https://www.sciencedirect.com/science/article/pii/S0377221721009589;https://doi.org/10.1016/j.ejor.2021.11.012;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:690-da2020forecasting;"da Silva,Ramon Gomes;Ribeiro, Matheus Henrique Dal Molin;Mariani,Viviana Cocco;Coelho,Leandro dos Santos";Forecasting Brazilian and American COVID-19 cases based on artificial intelligence coupled with climatic exogenous variables;Chaos, Solitons & Fractals;;2020;;October 2020;139;;110027;;;The novel coronavirus disease (COVID-19) is a public health problem once according to the World Health Organization up to June 24th, 2020, more than 9.1 million people were infected, and more than 470 thousand have died worldwide. In the current scenario, the Brazil and the United States of America present a high daily incidence of new cases and deaths. Therefore, it is important to forecast the number of new cases in a time window of one week, once this can help the public health system developing strategic planning to deals with the COVID-19. The application of the forecasting artificial intelligence (AI) models has the potential of deal with dynamical behavior of time-series like of COVID-19. In this paper, Bayesian regression neural network, cubist regression, k-nearest neighbors, quantile random forest, and support vector regression, are used stand-alone, and coupled with the recent pre-processing variational mode decomposition (VMD) employed to decompose the time series into several intrinsic mode functions. All AI techniques are evaluated in the task of time-series forecasting with one, three, and six-days-ahead the cumulative COVID-19 cases in five Brazilian and American states, with a high number of cases up to April 28th, 2020. Previous cumulative COVID-19 cases and exogenous variables as daily temperature and precipitation were employed as inputs for all forecasting models. The models’ effectiveness are evaluated based on the performance criteria. In general, the hybridization of VMD outperformed single forecasting models regarding the accuracy, specifically when the horizon is six-days-ahead, the hybrid VMD–single models achieved better accuracy in 70% of the cases. Regarding the exogenous variables, the importance ranking as predictor variables is, from the upper to the lower, past cases, temperature, and precipitation. Therefore, due to the efficiency of evaluated models to forecasting cumulative COVID-19 cases up to six-days-ahead, the adopted models can be recommended as a promising models for forecasting and be used to assist in the development of public policies to mitigate the effects of COVID-19 outbreak.;ID: 271591;;;;;;;;;;;0960-0779;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0960077920304252;https://www.sciencedirect.com/science/article/pii/S0960077920304252;https://doi.org/10.1016/j.chaos.2020.110027;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:689-shashikumar2021development;"Shashikumar,Supreeth P.;Wardi,Gabriel;Paul,Paulina;Carlile,Morgan;Brenner,Laura N.;Hibbert,Kathryn A.;North,Crystal M.;Mukerji,Shibani S.;Robbins,Gregory K.;Shao,Yu-Ping;Westover,M. Brandon;Nemati,Shamim;Malhotra,Atul";Development and Prospective Validation of a Deep Learning Algorithm for Predicting Need for Mechanical Ventilation;Chest;;2021;;June 2021;159;6;2264;2273;;Background Objective and early identification of hospitalized patients, and particularly those with novel coronavirus disease 2019 (COVID-19), who may require mechanical ventilation (MV) may aid in delivering timely treatment. Research Question Can a transparent deep learning (DL) model predict the need for MV in hospitalized patients and those with COVID-19 up to 24 h in advance? Study Design and Methods We trained and externally validated a transparent DL algorithm to predict the future need for MV in hospitalized patients, including those with COVID-19, using commonly available data in electronic health records. Additionally, commonly used clinical criteria (heart rate, oxygen saturation, respiratory rate, Fio2, and pH) were used to assess future need for MV. Performance of the algorithm was evaluated using the area under receiver operating characteristic curve (AUC), sensitivity, specificity, and positive predictive value. Results We obtained data from more than 30,000 ICU patients (including more than 700 patients with COVID-19) from two academic medical centers. The performance of the model with a 24-h prediction horizon at the development and validation sites was comparable (AUC, 0.895 vs 0.882, respectively), providing significant improvement over traditional clinical criteria (P < .001). Prospective validation of the algorithm among patients with COVID-19 yielded AUCs in the range of 0.918 to 0.943. Interpretation A transparent deep learning algorithm improves on traditional clinical criteria to predict the need for MV in hospitalized patients, including in those with COVID-19. Such an algorithm may help clinicians to optimize timing of tracheal intubation, to allocate resources and staff better, and to improve patient care.;ID: 280288;;;;;;;;;;;0012-3692;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0012369220354544;https://www.sciencedirect.com/science/article/pii/S0012369220354544;https://doi.org/10.1016/j.chest.2020.12.009;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:688-amoah2022effect;"Amoah,Isaac Dennis;Abunama,Taher;Awolusi,Oluyemi Olatunji;Pillay,Leanne;Pillay,Kriveshin;Kumari,Sheena;Bux,Faizal";Effect of selected wastewater characteristics on estimation of SARS-CoV-2 viral load in wastewater;Environmental research;Environ.Res.;2022;;January 2022;203;;111877;;;Wastewater-based epidemiology has been used as a tool for surveillance of COVID-19 infections. This approach is dependent on the detection and quantification of SARS-CoV-2 RNA in untreated/raw wastewater. However, the quantification of the viral RNA could be influenced by the physico-chemical properties of the wastewater. This study presents the first use of Adaptive Neuro-Fuzzy Inference System (ANFIS) to determine the potential impact of physico-chemical characteristics of wastewater on the detection and concentration of SARS-CoV-2 RNA in wastewater. Raw wastewater samples from four wastewater treatment plants were investigated over four months. The physico-chemical characteristics of the raw wastewater was recorded, and the SARS-CoV-2 RNA concentration determined via amplification with droplet digital polymerase chain reaction. The wastewater characteristics considered were chemical oxygen demand, flow rate, ammonia, pH, permanganate value, and total solids. The mean SARS-CoV-2 RNA concentrations ranged from 648.1(±514.6) copies/mL to 1441.0(±1977.8) copies/mL. Among the parameters assessed using the ANFIS model, ammonia and pH showed significant association with the concentration of SARS-CoV-2 RNA measured. Increasing ammonia concentration was associated with increasing viral RNA concentration and pH between 7.1 and 7.4 were associated with the highest SARS-CoV-2 concentration. Other parameters, such as total solids, were also observed to influence the viral RNA concentration, however, this observation was not consistent across all the wastewater treatment plants. The results from this study indicate the importance of incorporating wastewater characteristic assessment into wastewater-based epidemiology for a robust and accurate COVID-19 surveillance.;ID: 272394;;;;;;;;;;;0013-9351;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0013935121011713;https://www.sciencedirect.com/science/article/pii/S0013935121011713;https://doi.org/10.1016/j.envres.2021.111877;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:687-gao2022covid-19;"Gao,Mingyun;Yang,Honglin;Xiao,Qinzi;Goh,Mark";COVID-19 lockdowns and air quality: Evidence from grey spatiotemporal forecasts;Socio-economic planning sciences;Socioecon.Plann.Sci.;2022;;Available online 11 January 2022;;;101228;;;This paper proposes a novel grey spatiotemporal model and quantitatively analyzes the spillover and momentum effects of the COVID-19 lockdown policy on the concentration of PM2.5 (particulate matter of diameter less than 2.5 μm) in Wuhan during the COVID-19 pandemic lockdown from 23 January to 8 April 2020 inclusive, and the post-pandemic period from 9 April 2020 to 17 October 2020 inclusive. The results suggest that the stringent lockdowns lead to a reduction in PM2.5 emissions arising from a momentum effect (9.57–18.67%) and a spillover effect (7.07–27.60%).;ID: 271736;;;;;;;;;;;0038-0121;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0038012122000064;https://www.sciencedirect.com/science/article/pii/S0038012122000064;https://doi.org/10.1016/j.seps.2022.101228;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:686-katrakazas2021identifying;"Katrakazas,Christos;Michelaraki,Eva;Sekadakis,Marios;Ziakopoulos,Apostolos;Kontaxi,Armira;Yannis,George";Identifying the impact of the COVID-19 pandemic on driving behavior using naturalistic driving data and time series forecasting;Journal of Safety Research;J.Saf.Res.;2021;;sep-21;78;;189;202;;"Introduction: COVID-19 has disrupted daily life and societal flow globally since December 2019; it introduced measures such as lockdown and suspension of all non-essential movements. As a result, driving activity was also significantly affected. Still, to-date, a quantitative assessment of the effect of COVID-19 on driving behavior during the lockdown is yet to be provided. This gap forms the motivation for this paper, which aims at comparing observed values concerning three indicators (average speed, speeding, and harsh braking), with forecasts based on their corresponding observations before the lockdown in Greece. Method: Time series of the three indicators were extracted using a specially developed smartphone application and transmitted to a back-end platform between 01/01/2020 and 09/05/2020, a time period containing normal operations, COVID-19 spreading, and the full lockdown period in Greece. Based on the collected data, XGBoost was employed to identify the most influential COVID-19 indicators, and Seasonal AutoRegressive Integrated Moving Average (SARIMA) models were developed for obtaining forecasts on driving behavior. Results: Results revealed the intensity of the impact of COVID-19 on driving, especially on average speed, speeding, and harsh braking per 100 km. More specifically, speeds were found to increase by 2.27 km/h on average compared to the forecasted evolution, while harsh braking/100 km increased to almost 1.51 on average. On the bright side, road crashes in Greece were reduced by 49% during the months of COVID-19 compared to the non-COVID-19 period.";ID: 271707;;;;;;;;;;;0022-4375;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0022437521000542;https://www.sciencedirect.com/science/article/pii/S0022437521000542;https://doi.org/10.1016/j.jsr.2021.04.007;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:685-joshi2020epitope;"Joshi,Amit;Joshi,Bhuwan Chandra;Mannan,M. Amin-ul;Kaushik,Vikas";Epitope based vaccine prediction for SARS-COV-2 by deploying immuno-informatics approach;Informatics in Medicine Unlocked;;2020;;2020;19;;100338;;;A new virus termed SARS-COV-2 (causing COVID-19 disease) can exhibit a progressive, fatal impact on individuals. The World Health Organization (WHO) has declared the spread of the virus to be a global pandemic. Currently, there are over 1 million cases and over 100,000 confirmed deaths due to the virus. Hence, prophylactic and therapeutic strategies are promptly needed. In this study we report an epitope, ITLCFTLKR, which is biochemically fit to HLA allelic proteins. We propose that this could be used as a potential vaccine candidate against SARS-COV-2. A selected putative epitope and HLA-allelic complexes show not only better binding scores, but also RMSD values in the range of 0–1 Å. This epitope was found to have a 99.8% structural favorability as per Ramachandran-plot analysis. Similarly, a suitable range of IC50 values and population coverage was obtained to represent greater validation of T-cell epitope analysis. Stability analysis using MDWeb and half-life analysis using the ProtParam tool has confirmed that this epitope is well-selected. This new methodology of epitope-based vaccine prediction is fundamental and fast in application, ad can be economically beneficial and viable.;ID: 312075;;;;;;;;;;;2352-9148;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S2352914820301581;https://www.sciencedirect.com/science/article/pii/S2352914820301581;https://doi.org/10.1016/j.imu.2020.100338;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:684-sangiorgio2020multicriteria;"Sangiorgio,Valentino;Parisi,Fabio";A multicriteria approach for risk assessment of Covid-19 in urban district lockdown;Safety Science;Saf.Sci.;2020;;October 2020;130;;104862;;;At the beginning of 2020, the spread of a new strand of Coronavirus named SARS-CoV-2 (COVID-19) raised the interest of the scientific community about the risk assessment related to the viral infection. The contagion became pandemic in few months forcing many Countries to declare lockdown status. In this context of quarantine, all commercial and productive activities are suspended, and many Countries are experiencing a serious crisis. To this aim, the understanding of risk of contagion in every urban district is fundamental for governments and administrations to establish reopening strategies. This paper proposes the calibration of an index able to predict the risk of contagion in urban districts in order to support the administrations in identifying the best strategies to reduce or restart the local activities during lockdown conditions. The objective regards the achievement of a useful tool to predict the risk of contagion by considering socio-economic data such as the presence of activities, companies, institutions and number of infections in urban districts. The proposed index is based on a factorial formula, simple and easy to be applied by practitioners, calibrated by using an optimization-based procedure and exploiting data of 257 urban districts of Apulian region (Italy). Moreover, a comparison with a more refined analysis, based on the training of Artificial Neural Networks, is performed in order to take into account the non-linearity of the phenomenon. The investigation quantifies the influence of each considered parameter in the risk of contagion useful to obtain risk analysis and forecast scenarios.;ID: 271730;;;;;;;;;;;0925-7535;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0925753520302599;https://www.sciencedirect.com/science/article/pii/S0925753520302599;https://doi.org/10.1016/j.ssci.2020.104862;;;;;;;;;;;;;;;;;;;;;;;
Book, Section;RefID:683-hota202127;"Hota,H. S.;Handa,Richa;Shrivas,A. K.";27 - COVID-19 pandemic in India: Forecasting using machine learning techniques;;;2021;;2021;;;503;525;;Forecasting about the Novel coronavirus disease 2019 (COVID-19) pandemic involves high uncertainty and may be affected by measures taken by the government to fight the disease. This research explores machine learning (ML) techniques to forecast the epidemiological trend of COVID-19 in India. We used 22ML algorithms develop forecasting models and selected the four best ones on the basis of their performance using mean absolute percentage error (MAPE). Feature extraction and feature selection techniques were also employed to improve performance with cumulative and daily data obtained from Mar. 2 to Apr. 25, 2020. Because of the linear nature of cumulative data, the model built with these time series data outperforms with an MAPE of 0.498, 0.240, and 0.430, respectively, for cases that are confirmed or recovered and deaths using the extra tree regressor compared with the model built with daily data with an MAPE of 1.377, 1.302, and 0.488, respectively. Moreover, the study confirms that the models perform well at the validation stage with an MAPE of 4.123, 5.411, and 4.553, respectively, for confirmed or recovered cases and deaths using a model built with cumulative data and an MAPE of 6.261, 7.576, and 6.273, respectively, using a model built with daily data. On the basis of selected models, a 15-day forecast for confirmed and recovered cases and deaths from COVID-19 was performed that can be validated in the near future. However, it depends on precaution measures taken by the central and state governments as well as individuals, including social distancing, self-isolation from society, restrictions in bus, rail, and air transport, school, college, and market closings or openings, the extension of the lockdown period, privileges to be given during lockdown, and other measures, as well whether guidelines issued by government from time to time were followed.;ID: 779963;;"Kose,Utku;Gupta,Deepak;de Albuquerque, Victor Hugo C.;Khanna,Ashish";Data Science for COVID-19;;Academic Press;;;;;;9,78013E+12;;;;;;;;;https://www.sciencedirect.com/science/article/pii/B9780128245361000307;https://www.sciencedirect.com/science/article/pii/B9780128245361000307;https://doi.org/10.1016/B978-0-12-824536-1.00030-7;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:682-selinger2021predicting;"Selinger,Christian;Choisy,Marc;Alizon,Samuel";Predicting COVID-19 incidence in French hospitals using human contact network analytics;International Journal of Infectious Diseases;;2021;;October 2021;111;;100;107;;Background  COVID-19 was first detected in Wuhan, China, in 2019 and spread worldwide within a few weeks. The COVID-19 epidemic started to gain traction in France in March 2020. Subnational hospital admissions and deaths were then recorded daily and served as the main policy indicators. Concurrently, mobile phone positioning data have been curated to determine the frequency of users being colocalized within a given distance. Contrarily to individual tracking data, these can be a proxy for human contact networks between subnational administrative units. Methods  Motivated by numerous studies correlating human mobility data and disease incidence, we developed predictive time series models of hospital incidence between July 2020 and April 2021. We added human contact network analytics, such as clustering coefficients, contact network strength, null links or curvature, as regressors. Findings  We found that predictions can be improved substantially (by more than 50%) at both the national level and the subnational level for up to 2 weeks. Our subnational analysis also revealed the importance of spatial structure, as incidence in colocalized administrative units improved predictions. This original application of network analytics from colocalization data to epidemic spread opens new perspectives for epidemic forecasting and public health.;ID: 272991;;;;;;;;;;;1201-9712;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S1201971221006627;https://www.sciencedirect.com/science/article/pii/S1201971221006627;https://doi.org/10.1016/j.ijid.2021.08.029;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:681-gómez-herrera2021distinct;"Gómez-Herrera,Santiago;Sartori Jeunon Gontijo,Erik;Enríquez-Delgado,Sandra M.;Rosa,André H.";Distinct weather conditions and human mobility impacts on the SARS-CoV-2 outbreak in Colombia: Application of an artificial neural network approach;International journal of hygiene and environmental health;Int.J.Hyg.Environ.Health;2021;;sep-21;238;;113833;;;The coronavirus disease 2019 (COVID-19) is still spreading fast in several tropical countries after more than one year of pandemic. In this scenario, the effects of weather conditions that can influence the spread of the virus are not clearly understood. This study aimed to analyse the influence of meteorological (temperature, wind speed, humidity and specific enthalpy) and human mobility variables in six cities (Barranquilla, Bogota, Cali, Cartagena, Leticia and Medellin) from different biomes in Colombia on the coronavirus dissemination from March 25, 2020, to January 15, 2021. Rank correlation tests and a neural network named self-organising map (SOM) were used to investigate similarities in the dynamics of the disease in the cities and check possible relationships among the variables. Two periods were analysed (quarantine and post-quarantine) for all cities together and individually. The data were classified in seven groups based on city, date and biome using SOM. The virus transmission was most affected by mobility variables, especially in the post-quarantine. The meteorological variables presented different behaviours on the virus transmission in different biogeographical regions. The wind speed was one of the factors connected with the highest contamination rate recorded in Leticia. The highest new daily cases were recorded in Bogota where cold/dry conditions (average temperature 9 g/m3) favoured the contagions. In contrast, Barranquilla, Cartagena and Leticia presented an opposite trend, especially with the absolute humidity >22 g/m3. The results support the implementation of better local control measures based on the particularities of tropical regions.;ID: 273238;;;;;;;;;;;1438-4639;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S1438463921001486;https://www.sciencedirect.com/science/article/pii/S1438463921001486;https://doi.org/10.1016/j.ijheh.2021.113833;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:680-kutuk2022multivariate;"Kutuk,Yasin;Barokas,Lina";Multivariate CDS risk premium prediction with SOTA RNNs on MI[N]T countries;Finance Research Letters;;2022;;March 2022;45;;102198;;;In this study, CDS risk premiums of Mexico, Indonesia and Turkey were predicted by applying state-of-the-art forecasters in deep learning recurrent neural networks architectures which are the most recent ground-breaking predictors in the time series setting. The predictive power of each sota forecaster is compared, and the results are differentiated by country and type of sota predictors. While the long short-term memory model is better to predict Mexico’s CDS risk premiums, the nonlinear autoregressive network with exogenous inputs model is found to be more suitable for Indonesia and Turkey. The results of Turkey model reached the highest forecast accuracy.;ID: 273054;;;;;;;;;;;1544-6123;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S154461232100266X;https://www.sciencedirect.com/science/article/pii/S154461232100266X;https://doi.org/10.1016/j.frl.2021.102198;;;;;;;;;;;;;;;;;;;;;;;
Journal Article;RefID:679-liu2021forecasting;"Liu,Yunhao;Feng,Gengzhong;Tsui,Kwok-Leung;Sun,Shaolong";Forecasting influenza epidemics in Hong Kong using Google search queries data: A new integrated approach;Expert Systems with Applications;Expert Syst.Appl.;2021;;15-dec-21;185;;115604;;;Forecasting influenza epidemics has important practical implications. However, the performance of traditional methods adopting in Hong Kong influenza forecasting is limited due to its particularity. This paper proposes an integrated approach for Hong Kong influenza epidemics forecasting. The novelties of our approach mainly include: firstly, we adopt a model for Google search queries data collection and selection in Hong Kong to substitute Google Correlate. Secondly, we adopt the stacked autoencoder (SAE) to reduce the dimensionality of Google search queries data. Thirdly, we adopt a signal decomposition method named variational mode decomposition (VMD) to decompose the influenza data into modes with different frequencies, which can extract the characteristic. Fourthly, we use artificial neural networks (ANN) to forecast these modes of influenza epidemics extracted by VMD respectively, then these forecasts of each mode are added to generate the final forecasting results. From the perspective of forecasting accuracy and hypothesis tests, the empirical results show that our proposed integrated approach SAE-VMD-ANN significantly outperforms some other benchmark models both in the whole period and influenza season. The performance of our proposed model during the COVID-19 pandemic is checked too.;ID: 271506;;;;;;;;;;;0957-4174;;;;;;;;;https://www.sciencedirect.com/science/article/pii/S0957417421010034;https://www.sciencedirect.com/science/article/pii/S0957417421010034;https://doi.org/10.1016/j.eswa.2021.115604;;;;;;;;;;;;;;;;;;;;;;;
